AA    ;LOCATION           ;DATE      ;MIS;DW ;DM ;DC ;CAUSE OF DEATH                                                                                                                                        ;LOCATION DESCR.                                                                                                                                                                    ;COORDINATES                           ;URL                                                                                                                                                                  
002807;US-Mexico Border   ;21/06/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +32.374557495117, -111.753952026367;http://www.humaneborders.info/
002808;US-Mexico Border   ;21/06/2018;000;000;001;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +31.756084442139, -112.006340026855;http://www.humaneborders.info/
002809;US-Mexico Border   ;21/06/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +31.756084442139, -112.006340026855;http://www.humaneborders.info/
002810;North Africa       ;21/06/2018;000;000;002;000;Sickness and lack of access to medicines, Starvation, Dehydration, Excessive Physical Abuse                                                           ;Sabha, Libya                                                                                                                                                                       ;  +27.093057632446,  +14.375317573547;http://www.mixedmigration.org/4mi/
002811;North Africa       ;21/06/2018;000;000;002;000;Sickness and lack of access to medicines, Starvation, Dehydration                                                                                     ;Sabha, Libya                                                                                                                                                                       ;  +27.124841690063,  +14.279231071472;http://www.mixedmigration.org/4mi/
002812;North Africa       ;21/06/2018;000;001;000;000;Shot or stabbed                                                                                                                                       ;Benghazi, Libya                                                                                                                                                                    ;  +31.986595153809,  +20.297225952148;http://www.mixedmigration.org/4mi/
002813;Mediterranean      ;20/06/2018;000;000;000;000;Drowning                                                                                                                                              ;Unspecified location off the coast of Al Hamidiyah, Tajura, Libya                                                                                                                  ;  +33.546890258789,  +13.464128494263;https://bit.ly/2lnqZqf
002814;Mediterranean      ;20/06/2018;050;000;000;000;Presumed drowning                                                                                                                                     ;Off the coast of Garabuli, 64 km east of Tripoli, Libya                                                                                                                            ;  +32.906940460205,  +13.713920593262;https://bit.ly/2K9XbrX
002815;US-Mexico Border   ;20/06/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +32.220275878906, -112.782432556152;http://www.humaneborders.info/
002816;Middle East        ;20/06/2018;000;000;001;000;Shot                                                                                                                                                  ;Syria-Turkey border, Idlib Governorate, Syria - en route to Iskenderun, Turkey                                                                                                     ;  +36.496185302734,  +36.546558380127;http://www.syriahr.com/en/?p=95794
002817;North Africa       ;20/06/2018;000;001;000;000;Sickness and lack of access to medicines                                                                                                              ;Sahara desert, Libya                                                                                                                                                               ;  +24.973283767700,  +13.379010200500;http://www.mixedmigration.org/4mi/
002818;Sub-Saharan Africa ;20/06/2018;000;000;001;000;Vehicle Accident                                                                                                                                      ;Bamako, Mali                                                                                                                                                                       ;  +12.639166831970,   -8.002778053284;http://www.mixedmigration.org/4mi/
002819;Europe             ;19/06/2018;000;000;001;000;Vehicle Accident, Crushed by bus                                                                                                                      ;Bus in Berchem-Sainte-Agathe, Brussels, Belgium                                                                                                                                    ;  +50.865783691406,   +4.292597293854;https://bit.ly/2JRQ5fE
002820;US-Mexico Border   ;19/06/2018;000;000;001;000;Presumed drowning                                                                                                                                     ;R  o Bravo, near 1821 Military Road, Pe  itas, Hidalgo County, Texas, USA                                                                                                          ;  +26.215845108032,  -98.450233459473;https://bit.ly/2Ispe4v
002821;Mediterranean      ;19/06/2018;095;000;000;002;Drowning                                                                                                                                              ;North of Al Maya (west of Tripoli), Libya                                                                                                                                          ;  +32.953662872314,  +12.875106811523;https://bit.ly/2K9XbrX
002822;Mediterranean      ;19/06/2018;070;000;000;000;Presumed drowning                                                                                                                                     ;Off the coast of Dela, west of Tripoli, Libya                                                                                                                                      ;  +32.956951141357,  +13.088341712952;https://bit.ly/2K9XbrX
002823;US-Mexico Border   ;19/06/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +31.953720092773, -111.988075256348;http://www.humaneborders.info/
002824;Mediterranean      ;18/06/2018;000;002;003;000;Drowning                                                                                                                                              ;Unspecified location 8 miles north of Melittah area, Tripoli, Libya                                                                                                                ;  +33.900184631348,  +13.378376007080;https://bit.ly/2ljWfq4
002825;US-Mexico Border   ;18/06/2018;000;000;001;000;Dehydration                                                                                                                                           ;Unspecified location on the side of Highway 131 between Eagle Pass and Brackettville, Maverick County, Texas                                                                       ;  +28.928943634033, -100.501052856445;https://bit.ly/2yuPrjc
002826;US-Mexico Border   ;18/06/2018;000;000;001;000;Probable hyperthermia                                                                                                                                 ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +31.657587051392, -111.096450805664;http://www.humaneborders.info/
