AA    ;LOCATION           ;DATE      ;MIS;DW ;DM ;DC ;CAUSE OF DEATH                                                                                                                                        ;LOCATION DESCR.                                                                                                                                                                    ;COORDINATES                           ;URL                                                                                                                                                                  
001922;Mediterranean      ;28/12/2018;007;000;000;000;Presumed drowning                                                                                                                                     ;15 miles northeast of Cape Greco, Cyprus (boat departed from Tripoli, Lebanon)                                                                                                     ;  +34.869026184082,  +34.492835998535;https://bit.ly/2GSo2Md
001923;US-Mexico Border   ;28/12/2018;000;000;001;000;Drowning                                                                                                                                              ;Off the coast of Imperial Beach, San Diego County, California, USA                                                                                                                 ;  +32.541881561279, -117.133735656738;https://bit.ly/2LSLIyE
001924;US-Mexico Border   ;27/12/2018;000;000;001;000;Unknown                                                                                                                                               ;Ranch east of the Falfurrias US Border Patrol Checkpoint, Brooks County, Texas, USA (80 miles north of border with Mexico)                                                         ;  +27.028917312622,  -98.070343017578;https://bit.ly/2RHI3t5
001925;North Africa       ;26/12/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Sabha, Libya                                                                                                                                                                       ;  +27.047986984253,  +14.492573738098;http://www.mixedmigration.org/4mi/
001926;Europe             ;25/12/2018;000;000;001;000;Vehicle Accident                                                                                                                                      ;Between Via Flaminia and Via Conca, Ancona, Marche, Italy                                                                                                                          ;  +43.609901428223,  +13.456589698792;https://bit.ly/2sep4Yx
001927;US-Mexico Border   ;25/12/2018;000;000;001;000;Hypothermia                                                                                                                                           ;Ranch near Hopedale, Maverick County, Texas, USA                                                                                                                                   ;  +28.759006500244, -100.519348144531;https://bit.ly/2VC7MSW
001928;Mediterranean      ;24/12/2018;000;000;000;000;Presumed drowning                                                                                                                                     ;Unspecified location off the coast of Morocco                                                                                                                                      ;  +35.481681823730,   -3.342110633850;https://www.facebook.com/helena.malenogarzon/posts/2231981046834200
001929;US-Mexico Border   ;24/12/2018;000;000;001;001;Sickness                                                                                                                                              ;Hospital in Alamogordo, New Mexico, USA - after being detained on 18 December by the US Border Patrol right after crossing the border near El Paso, Texas, USA                     ;  +32.925239562988, -105.933166503906;http://bit.ly/2JZ8w10
001930;Mediterranean      ;23/12/2018;002;000;000;002;Unknown                                                                                                                                               ;Unspecified location in the Alboran Sea, bodies thrown overboard                                                                                                                   ;  +36.175540924072,   -3.432980537415;https://bit.ly/2QrMUK7
001931;Mediterranean      ;23/12/2018;012;001;011;000;Presumed drowning                                                                                                                                     ;Unspecified location in the Gibraltar Strait, boat departed from Cap Spartel, Tangiers, Morocco                                                                                    ;  +35.940387725830,   -5.940460681915;https://bit.ly/2GSo2Md
001932;Middle East        ;23/12/2018;000;000;001;000;Shot                                                                                                                                                  ;Syria-Turkey border, Idlib Governorate, Syria                                                                                                                                      ;  +35.963069915771,  +36.294639587402;http://www.syriahr.com/en/?p=110049
001933;North Africa       ;23/12/2018;000;001;001;000;Vehicle Accident                                                                                                                                      ;Seguedine, Niger                                                                                                                                                                   ;  +20.202066421509,  +12.979216575623;http://www.mixedmigration.org/4mi/
001934;North Africa       ;22/12/2018;000;000;002;000;Sickness and lack of access to medicines, Starvation                                                                                                  ;Unspecified location in the Sahara Desert, Sudan                                                                                                                                   ;  +21.220724105835,  +24.628498077393;http://www.mixedmigration.org/4mi/
001935;Mediterranean      ;21/12/2018;000;000;001;000;Presumed drowning                                                                                                                                     ;Body recovered in Calamacarro, near Benz  , Ceuta, Spain                                                                                                                           ;  +35.914962768555,   -5.380634784698;https://bit.ly/2TCDQEp
001936;Middle East        ;21/12/2018;000;000;001;000;Shot                                                                                                                                                  ;Syria-Turkey border, Idlib Governorate, Syria                                                                                                                                      ;  +36.010974884033,  +36.291893005371;http://www.syriahr.com/en/?p=110049
001937;Mediterranean      ;20/12/2018;012;002;010;000;Drowning                                                                                                                                              ;Unspecified location in the Alboran Sea. Survivors and recovered bodies disembarked in Almeria, Spain                                                                              ;  +36.385856628418,   -2.625576972961;https://bit.ly/2GuYF2N
001938;US-Mexico Border   ;20/12/2018;000;000;001;000;Drowning                                                                                                                                              ;R  o Bravo, south of Eagle Pass port of entry, Maverick County, Texas, USA                                                                                                         ;  +28.655830383301, -100.480613708496;https://bit.ly/2Fg5u5S
001939;Mediterranean      ;20/12/2018;000;000;000;000;Unknown (found on dinghy)                                                                                                                             ;Unspecified location between North Africa and Spain                                                                                                                                ;  +35.862102508545,   -3.230474233627;https://bit.ly/2FcFg5m
001940;Mediterranean      ;20/12/2018;012;003;001;002;Drowning                                                                                                                                              ;Off the coast of T  n  s, wilaya of Chlef, Algeria                                                                                                                                 ;  +36.656665802002,   +1.229045391083;https://bit.ly/2C6f3Bq
001941;US-Mexico Border   ;20/12/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +31.785528182983, -111.466392517090;http://www.humaneborders.info/
001942;North Africa       ;20/12/2018;000;001;000;000;Sickness and lack of access to medicines                                                                                                              ;Unspecified location in the Sahara Desert, Libya                                                                                                                                   ;  +20.987943649292,  +24.223409652710;http://www.mixedmigration.org/4mi/
001943;North Africa       ;20/12/2018;000;001;000;000;Sickness and lack of access to medicines                                                                                                              ;Unspecified location in the Sahara Desert, Libya                                                                                                                                   ;  +22.248781204224,  +23.506586074829;http://www.mixedmigration.org/4mi/
001944;North Africa       ;20/12/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Kufra, Libya                                                                                                                                                                       ;  +20.873394012451,  +24.759855270386;http://www.mixedmigration.org/4mi/
001945;North Africa       ;20/12/2018;000;001;001;000;Sickness and lack of access to medicines                                                                                                              ;Dirkou, Niger                                                                                                                                                                      ;  +19.063743591309,  +13.005487442017;http://www.mixedmigration.org/4mi/
001946;Europe             ;19/12/2018;000;000;001;000;Electrocution on railway                                                                                                                              ;Inside a railroad wagon near Sid, province of Vojvodina, Serbia                                                                                                                    ;  +45.121868133545,  +19.213237762451;https://bit.ly/2QCkSAF
001947;US-Mexico Border   ;19/12/2018;000;000;001;001;Drowning                                                                                                                                              ;R  o Bravo, near barrio El Molcajete, Piedras Negras, Coahuila, Mexico                                                                                                             ;  +28.702360153198, -100.511535644531;https://bit.ly/2BveQY1
001948;North Africa       ;19/12/2018;000;001;001;000;Vehicle Accident                                                                                                                                      ;Kufra, Libya                                                                                                                                                                       ;  +21.445762634277,  +24.508659362793;http://www.mixedmigration.org/4mi/
001949;North Africa       ;19/12/2018;000;000;001;000;Dehydration                                                                                                                                           ;Unspecified location in the Sahara Desert, Libya                                                                                                                                   ;  +20.624940872192,  +24.256095886230;http://www.mixedmigration.org/4mi/
001950;Horn of Africa     ;19/12/2018;000;002;000;002;Unknown                                                                                                                                               ;Galafi, Djibouti - on border with Ethiopia                                                                                                                                         ;  +41.839523315430,  +11.722627639771;http://www.mixedmigration.org/4mi/
001951;Mediterranean      ;18/12/2018;000;000;001;000;Presumed drowning                                                                                                                                     ;Unspecified location in the Alboran Sea, between Morocco and Spain                                                                                                                 ;  +36.174640655518,   -3.809567451477;https://bit.ly/2SX4esg
001952;Mediterranean      ;18/12/2018;000;000;000;000;Presumed drowning                                                                                                                                     ;Bodies recovered off the coast of Tabarka and Banzart, Tunisia                                                                                                                     ;  +37.074836730957,   +8.724048614502;https://bit.ly/2LofWcP
001953;US-Mexico Border   ;18/12/2018;000;000;001;000;Hit by vehicle                                                                                                                                        ;Ramp connecting US-54 highway to C  sar Ch  vez Border Highway (US-375), El Paso, Texas                                                                                            ;  +31.897188186646, -106.439102172852;https://bit.ly/2UXrUi1
001954;US-Mexico Border   ;18/12/2018;000;000;001;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +32.402664184570, -111.427589416504;http://www.humaneborders.info/
001955;US-Mexico Border   ;18/12/2018;000;000;001;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +31.589492797852, -111.363380432129;http://www.humaneborders.info/
001956;US-Mexico Border   ;18/12/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +32.331802368164, -112.524505615234;http://www.humaneborders.info/
001957;US-Mexico Border   ;18/12/2018;000;001;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +31.814868927002, -111.822326660156;http://www.humaneborders.info/
001958;US-Mexico Border   ;18/12/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +32.057498931885, -111.666069030762;http://www.humaneborders.info/
001959;North Africa       ;18/12/2018;000;001;000;001;Sickness and lack of access to medicines                                                                                                              ;Unspecified location in the Sahara Desert, Libya                                                                                                                                   ;  +22.172927856445,  +23.571458816528;http://www.mixedmigration.org/4mi/
001960;North Africa       ;18/12/2018;000;001;001;000;Unknown                                                                                                                                               ;Unspecified location in the Sahara Desert, between Niger and Algeria                                                                                                               ;  +20.600551605225,   +7.881770133972;http://www.mixedmigration.org/4mi/
001961;North Africa       ;18/12/2018;000;001;001;000;Vehicle Accident, Shot or stabbed                                                                                                                     ;Dirkou, Niger                                                                                                                                                                      ;  +18.993934631348,  +13.091769218445;http://www.mixedmigration.org/4mi/
001962;Sub-Saharan Africa ;18/12/2018;000;000;002;000;Suffocation                                                                                                                                           ;Seguedine, Niger                                                                                                                                                                   ;  +20.189659118652,  +12.983586311340;http://www.mixedmigration.org/4mi/
001963;North Africa       ;18/12/2018;000;000;001;000;Sickness and lack of access to medicines, Starvation                                                                                                  ;Tamanrasset, Algeria                                                                                                                                                               ;  +23.101566314697,   +5.621744155884;http://www.mixedmigration.org/4mi/
001964;North Africa       ;17/12/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Brak, Libya                                                                                                                                                                        ;  +27.538286209106,  +14.275829315186;http://www.mixedmigration.org/4mi/
001965;North Africa       ;17/12/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Unspecified location in the Sahara Desert, Libya                                                                                                                                   ;  +22.525207519531,  +22.721317291260;http://www.mixedmigration.org/4mi/
001966;Caribbean          ;16/12/2018;004;001;000;000;Presumed drowning                                                                                                                                     ;Off the coast of Sabana de la Mar, Hato Mayor, Dominican Republic - en route to Puerto Rico                                                                                        ;  +19.112562179565,  -69.313438415527;https://bit.ly/2GmkaTd
001967;US-Mexico Border   ;15/12/2018;000;000;002;002;Murdered                                                                                                                                              ;Calle 10, Zona Centro, Tijuana, Baja California, Mexico (in caravan)                                                                                                               ;  +32.538295745850, -117.014060974121;https://reut.rs/2S4rYdW
001968;US-Mexico Border   ;14/12/2018;000;000;001;000;Unknown (skeletal remains)                                                                                                                            ;Bullis Gap, Brewster County, Texas, USA                                                                                                                                            ;  +29.827611923218, -102.592430114746;
001969;North Africa       ;14/12/2018;000;001;001;001;Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter                                             ;Unspecified location in the Sahara Desert, Libya                                                                                                                                   ;  +25.434333801270,  +14.324311256409;http://www.mixedmigration.org/4mi/
001970;Europe             ;13/12/2018;000;000;003;000;Vehicle Accident                                                                                                                                      ;Egnatia Odos highway near Keramoti, Kavala, Greece                                                                                                                                 ;  +40.989654541016,  +24.630243301392;https://bit.ly/2LocOO7
001971;Sub-Saharan Africa ;13/12/2018;000;000;001;000;Sickness and lack of access to medicines, Vehicle Accident                                                                                            ;Lagos, Nigeria                                                                                                                                                                     ;   +6.489253997803,   +3.233103990555;http://www.mixedmigration.org/4mi/
001972;US-Mexico Border   ;12/12/2018;000;000;001;000;Drowning                                                                                                                                              ;R  o Bravo, near Los   ngeles, Miguel Alem  n, Tamaulipas, Mexico                                                                                                                  ;  +27.630474090576,  -99.625892639160;https://bit.ly/2EzGUO8
001973;Sub-Saharan Africa ;12/12/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Ndjamena, Chad                                                                                                                                                                     ;  +12.122780799866,  +15.137822151184;http://www.mixedmigration.org/4mi/
001974;Mediterranean      ;11/12/2018;000;000;000;000;Presumed drowning                                                                                                                                     ;Unspecified location in the Alboran Sea, between Morocco and Spain                                                                                                                 ;  +35.555358886719,   -3.233347892761;https://www.facebook.com/helena.malenogarzon/posts/2213345905364381
001975;US-Mexico Border   ;11/12/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +32.057498931885, -111.666069030762;http://www.humaneborders.info/
001976;Sub-Saharan Africa ;11/12/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Agadez, Niger                                                                                                                                                                      ;  +16.971437454224,   +7.979878902435;http://www.mixedmigration.org/4mi/
001977;US-Mexico Border   ;10/12/2018;000;000;001;000;Drowning                                                                                                                                              ;New River, Calexico, Imperial County, California, USA                                                                                                                              ;  +32.665485382080, -115.502037048340;
001978;North Africa       ;10/12/2018;000;001;001;000;Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter                                             ;Unspecified location in the Sahara Desert, Libya                                                                                                                                   ;  +27.228858947754,  +13.308321952820;http://www.mixedmigration.org/4mi/
001979;North Africa       ;10/12/2018;000;001;000;001;Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter                                             ;Unspecified location in the Sahara Desert, Libya                                                                                                                                   ;  +27.025169372559,  +13.831541061401;http://www.mixedmigration.org/4mi/
001980;North Africa       ;10/12/2018;000;001;000;000;Sickness and lack of access to medicines                                                                                                              ;Agadez, Niger                                                                                                                                                                      ;  +16.950750350952,   +7.971896171570;http://www.mixedmigration.org/4mi/
001981;US-Mexico Border   ;09/12/2018;000;000;001;000;Unknown                                                                                                                                               ;2800 Bentsen Palm, Hidalgo County, Texas, USA                                                                                                                                      ;  +26.182455062866,  -98.379821777344;
001982;US-Mexico Border   ;08/12/2018;000;000;001;000;Drowning                                                                                                                                              ;R  o Bravo, near Ejido Miguel Alem  n, Nuevo Laredo, Tamaulipas, Mexico                                                                                                            ;  +27.629882812500,  -99.626823425293;https://bit.ly/2SDCBE9
001983;US-Mexico Border   ;08/12/2018;000;000;000;000;Drowning                                                                                                                                              ;R  o Bravo, near Ejido Santo Domingo, Guerrero, Coahuila, Mexico                                                                                                                   ;  +28.337657928467, -100.308868408203;https://bit.ly/2L4PswK
001984;Central America    ;08/12/2018;000;001;000;000;Shot                                                                                                                                                  ;In truck near Juan Rodr  guez Clara, Veracruz, Mexico                                                                                                                              ;  +17.997026443481,  -95.385765075684;https://bit.ly/2zNZeis
001985;US-Mexico Border   ;08/12/2018;000;001;000;001;Sickness and lack of access to medicines                                                                                                              ;Died in hospital in El Paso, Texas, after crossing border near Antelope Wells, New Mexico, USA                                                                                     ;  +31.770748138428, -106.499404907227;https://bit.ly/2Ew8xHS
001986;Sub-Saharan Africa ;08/12/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Zinder, Niger                                                                                                                                                                      ;  +13.834610939026,   +8.969553947449;http://www.mixedmigration.org/4mi/
001987;US-Mexico Border   ;07/12/2018;000;000;000;000;Presumed drowning                                                                                                                                     ;R  o Bravo, south of Laredo, Webb County, Texas, USA                                                                                                                               ;  +27.427587509155,  -99.491760253906;https://bit.ly/2QFKo7i
001988;Sub-Saharan Africa ;07/12/2018;000;001;000;000;Unknown                                                                                                                                               ;Abobo, near Abidjan, C  te d'Ivoire                                                                                                                                                ;   +5.451341152191,   -4.041235923767;http://www.mixedmigration.org/4mi/
001989;Sub-Saharan Africa ;07/12/2018;000;000;001;001;Vehicle Accident                                                                                                                                      ;Conakry, Guinea                                                                                                                                                                    ;   +9.702536582947,  -13.553883552551;http://www.mixedmigration.org/4mi/
001990;Caribbean          ;06/12/2018;007;000;000;000;Presumed drowning                                                                                                                                     ;Mona Passage, off the coast of Isla Saona, Dominican Republic                                                                                                                      ;  +17.962064743042,  -68.291496276855;https://bit.ly/2Uxe8Cg
001991;Mediterranean      ;06/12/2018;000;000;001;000;Presumed drowning                                                                                                                                     ;Body recovered 28 miles off Ceuta, Spain                                                                                                                                           ;  +35.948081970215,   -5.277966976166;https://bit.ly/2rGNiuf
001992;Sub-Saharan Africa ;06/12/2018;000;000;001;000;Shot or stabbed                                                                                                                                       ;Hombori, Mali                                                                                                                                                                      ;  +15.288737297058,   -1.697258949280;http://www.mixedmigration.org/4mi/
001993;Middle East        ;05/12/2018;000;000;001;000;Hypothermia                                                                                                                                           ;Adasarhanl  , Edirne province, Turkey                                                                                                                                              ;  +41.090091705322,  +26.347377777100;https://bit.ly/2EbueMj
001994;US-Mexico Border   ;05/12/2018;000;000;001;000;Drowning                                                                                                                                              ;Irrigation Canal,   2 miles west of the Gran Plaza Outlets near Calexico, Imperial County, California, USA                                                                         ;  +32.659214019775, -115.577445983887;https://bit.ly/2B7T907
001995;North Africa       ;05/12/2018;000;000;001;000;Sickness and lack of access to medicines, Starvation                                                                                                  ;Sabha, Libya                                                                                                                                                                       ;  +27.029796600342,  +14.505564689636;http://www.mixedmigration.org/4mi/
001996;Sub-Saharan Africa ;05/12/2018;000;000;002;001;Vehicle Accident                                                                                                                                      ;Koro, Mali                                                                                                                                                                         ;  +14.084225654602,   -3.082479953766;http://www.mixedmigration.org/4mi/
001997;Sub-Saharan Africa ;05/12/2018;000;002;000;001;Unknown                                                                                                                                               ;Near Abidjan, C  te d'Ivoire                                                                                                                                                       ;   +5.422953128815,   -4.084725856781;http://www.mixedmigration.org/4mi/
001998;Sub-Saharan Africa ;05/12/2018;000;000;001;001;Sickness and lack of access to medicines                                                                                                              ;Daloa, C  te d'Ivoire                                                                                                                                                              ;   +6.936204910278,   -6.476191043854;http://www.mixedmigration.org/4mi/
001999;Mediterranean      ;04/12/2018;003;000;000;000;Presumed drowning                                                                                                                                     ;Off the coast of Misrata, Libya (departed from Sabratah, Libya)                                                                                                                    ;  +32.835792541504,  +15.372367858887;https://bit.ly/2Um4XVt
002000;Mediterranean      ;04/12/2018;003;000;002;000;Presumed drowning                                                                                                                                     ;Off the coast of Azzefoun, wilaya of Tizi Ouzou, Algeria                                                                                                                           ;  +36.993450164795,   +4.395623207092;https://bit.ly/2EdvJKJ
002001;Sub-Saharan Africa ;04/12/2018;000;001;000;001;Vehicle Accident                                                                                                                                      ;S  gou, Mali                                                                                                                                                                       ;  +13.410796165466,   -6.247757911682;http://www.mixedmigration.org/4mi/
002002;US-Mexico Border   ;03/12/2018;000;000;000;000;Presumed drowning                                                                                                                                     ;R  o Bravo, near Mission, Hidalgo County, Texas, USA                                                                                                                               ;  +26.160749435425,  -98.349044799805;https://bit.ly/2UfVEpM
002003;Middle East        ;03/12/2018;000;000;002;000;Hypothermia                                                                                                                                           ;Ak  adam and Adasarhanl   municipalities, Edirne province, Turkey, near border with Greece                                                                                         ;  +41.306957244873,  +26.519596099854;https://bit.ly/2UdTvuP
002004;US-Mexico Border   ;03/12/2018;000;000;001;000;Presumed drowning                                                                                                                                     ;R  o Bravo, near Ejido Los Cavazos, Reynosa, Tamaulipas                                                                                                                            ;  +26.150512695312,  -98.338577270508;https://bit.ly/2EhVU2G
002005;Sub-Saharan Africa ;03/12/2018;000;001;000;000;Sickness and lack of access to medicines                                                                                                              ;Koupela, Burkina Faso                                                                                                                                                              ;  +12.194573402405,   -0.356249004602;http://www.mixedmigration.org/4mi/
002006;Sub-Saharan Africa ;03/12/2018;000;001;000;001;Sickness and lack of access to medicines                                                                                                              ;Tanguieta, Benin                                                                                                                                                                   ;  +10.624340057373,   +1.254768967628;http://www.mixedmigration.org/4mi/
002007;Mediterranean      ;02/12/2018;000;000;002;000;Presumed drowning                                                                                                                                     ;Off the coast of Arzew, wilaya of Oran, Algeria                                                                                                                                    ;  +36.206409454346,   -0.440445005894;https://bit.ly/2FUviXl
002008;US-Mexico Border   ;02/12/2018;000;000;000;000;Presumed drowning                                                                                                                                     ;R  o Bravo, near Brownsville, Cameron County, Texas, USA                                                                                                                           ;  +25.886732101440,  -97.518249511719;https://bit.ly/2UfVEpM
002009;Sub-Saharan Africa ;02/12/2018;000;000;003;000;Suffocation                                                                                                                                           ;Northern Niger                                                                                                                                                                     ;  +23.082233428955,  +12.709309577942;http://www.mixedmigration.org/4mi/
002010;US-Mexico Border   ;01/12/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Ranch near Falfurrias, Brooks County, Texas, USA                                                                                                                                   ;  +27.122955322266,  -98.093597412109;https://bit.ly/2UfVEpM
002011;US-Mexico Border   ;01/12/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +31.916318893433, -112.935783386230;http://www.humaneborders.info/
002012;US-Mexico Border   ;01/12/2018;000;001;000;000;Sickness and lack of access to medicines                                                                                                              ;Hinkle Ranch, Brewster County, Texas, USA                                                                                                                                          ;  +29.608160018921, -102.883567810059;
002013;Europe             ;01/12/2018;000;000;001;000;Hypothermia                                                                                                                                           ;Near Adasevci, Serbia, 15km from the Croatian border                                                                                                                               ;  +45.081657409668,  +19.196531295776;http://www.trackpersia.com/lost-life-iranian-pedram-safari-left-freeze-death/
002014;North Africa       ;01/12/2018;000;001;001;000;Sickness and lack of access to medicines, Starvation, Excessive Physical Abuse, Sexual abuse                                                          ;Bani Walid, Libya                                                                                                                                                                  ;  +14.093059539795,  +31.758550643921;http://www.mixedmigration.org/4mi/
002015;North Africa       ;01/12/2018;000;000;001;000;Sickness and lack of access to medicines, Excessive Physical Abuse                                                                                    ;Ajdabiya, Libya                                                                                                                                                                    ;  +20.418746948242,  +29.680833816528;http://www.mixedmigration.org/4mi/
002016;North Africa       ;01/12/2018;000;000;001;000;Vehicle Accident                                                                                                                                      ;Unspecified location in the Sahara desert, Libya                                                                                                                                   ;  +22.255737304688,  +23.527343750000;http://www.mixedmigration.org/4mi/
002017;US-Mexico Border   ;30/11/2018;000;000;001;000;Hit by vehicle                                                                                                                                        ;Near temporary migrant shelter El Barretal, Tijuana, Mexico                                                                                                                        ;  +32.534378051758, -117.066200256348;https://bit.ly/2QukfYT
002018;Europe             ;30/11/2018;000;000;001;000;Drowning                                                                                                                                              ;Dobra river, between Lipa and Protulipa villages, southwest of Karlovac, Croatia                                                                                                   ;  +45.408496856689,  +15.391821861267;https://bit.ly/2BI7HVu
002019;Mediterranean      ;30/11/2018;000;000;001;000;Presumed drowning                                                                                                                                     ;Body recovered on beach near Oued El Agueb, Annaba, Algeria                                                                                                                        ;  +37.595409393311,   +7.867908000946;https://bit.ly/2Rw7bzE
002020;Southeast Asia     ;30/11/2018;000;000;000;000;Vehicle Accident                                                                                                                                      ;Prachuap Khiri Khan, Thailand                                                                                                                                                      ;  +11.788676261902,  +99.791488647461;https://bit.ly/2zG2A72
002021;Mediterranean      ;29/11/2018;000;001;000;000;Unknown (found on dinghy)                                                                                                                             ;Unspecified location in the Alboran Sea, between Nador, Morocco and M  laga, Spain                                                                                                 ;  +35.944057464600,   -4.296153068542;https://bit.ly/2FWoGI4
